totalranks,termindex,term
1476,448,love
1426,378,day
848,384,new
669,102,park
476,136,road
320,165,hill
238,124,station
214,357,night
177,191,studio
167,45,drink
164,103,street
161,125,railway
160,363,green
139,15,work
137,122,hous
125,178,lane
124,14,club
122,106,bridg
119,415,happi
118,105,garden
116,445,beauti
111,382,centr
109,296,hospit
108,181,wood
108,387,royal
108,375,great
107,196,stadium
106,62,golf
106,180,hotel
97,53,train
96,392,morn
92,107,museum
90,20,walk
89,3,wed
88,84,art
85,10,footbal
84,163,hall
82,164,theatr
81,370,home
78,96,church
78,142,market
78,151,underground
77,131,univers
76,150,colleg
74,234,flood
72,149,school
71,61,run
69,97,citi
68,329,book
66,159,town
65,282,farm
64,205,cafe
63,170,abbey
62,158,bu
62,157,squar
61,299,cake
60,174,cemeteri
58,201,palac
57,100,river
57,26,beer
56,16,cycl
56,193,cross
56,57,shop
56,19,show
53,246,dock
53,121,tower
53,144,bar
51,257,court
50,197,restaur
49,30,cricket
48,192,field
47,141,cat
46,167,galleri
46,353,box
45,21,rugbi
45,1,music
44,374,old
43,259,forest
43,236,way
43,29,danc
42,175,villag
42,434,open
40,9,festiv
40,18,sport
39,322,cinema
38,104,peopl
38,418,fashion
38,233,gate
37,161,dog
35,109,castl
34,126,car
34,364,natur
33,334,arena
33,447,countri
33,286,store
33,261,kitchen
32,44,carniv
32,6,christma
31,388,design
30,291,campu
30,348,wharf
29,293,tunnel
29,64,celebr
29,130,food
28,278,templ
28,134,canal
28,86,climb
28,108,pub
28,171,lake
27,266,chapel
27,371,colour
27,60,game
27,4,birthday
26,272,chocol
26,40,perform
25,287,allot
25,70,play
24,173,eye
24,367,white
23,116,flower
23,113,tree
23,317,engin
23,214,pond
23,301,wine
23,389,even
21,99,water
21,283,island
21,429,big
20,281,lock
20,406,jazz
20,129,light
20,0,parti
20,313,platform
19,288,drum
19,354,mill
19,248,arch
19,289,estat
19,2,gig
19,314,rose
19,359,red
19,75,film
19,48,student
18,416,modern
18,206,moon
18,292,kid
18,376,fun
17,128,zoo
17,409,intern
17,5,travel
17,274,track
17,400,gay
17,340,terrac
17,76,team
17,91,lunch
16,179,door
16,215,crane
15,50,pride
15,426,gold
15,209,model
14,310,pool
14,58,graduat
14,231,star
14,262,paint
14,82,drive
14,153,man
14,35,exhibit
13,194,roof
13,114,beach
13,451,silver
13,279,lion
13,176,memori
13,285,flat
12,204,offic
12,439,social
12,239,hors
12,379,histori
11,325,eleph
11,235,face
11,304,bell
11,46,camp
11,430,sexi
11,294,boy
11,264,room
11,147,babi
11,32,event
10,229,fenc
10,110,cathedr
10,319,tabl
10,459,folk
10,341,pirat
10,254,lighthous
10,422,weekend
9,458,drama
9,361,urban
9,336,cow
9,271,step
9,244,bank
9,182,pier
9,168,brick
9,98,sky
9,88,sail
9,316,garag
9,441,brown
9,419,interior
9,41,dinner
9,71,media
9,27,bike
9,306,bay
9,372,black
8,431,cityscap
8,408,color
8,216,hat
8,73,fiesta
8,268,guy
8,243,dress
8,256,motor
8,352,steel
8,7,concert
8,112,friend
7,446,vintag
7,300,youth
7,227,ship
7,186,fountain
7,156,fire
7,155,harbour
7,101,build
7,36,construct
7,360,sunset
7,284,slide
7,210,metro
7,190,ball
7,47,marathon
7,37,war
7,312,factori
7,245,librari
7,78,competit
7,24,soccer
6,468,smoke
6,295,motorcycl
6,442,cultur
6,385,pink
6,211,swan
6,139,bird
6,8,holiday
6,337,chees
6,135,firework
6,463,soul
6,425,smile
6,208,cup
6,49,transport
5,452,hot
5,433,roman
5,410,abstract
5,396,view
5,358,blue
5,330,chimney
5,230,aquarium
5,195,appl
5,81,musician
5,56,band
5,33,halloween
5,460,long
5,368,spring
5,224,men
5,39,read
5,309,plane
5,263,bedroom
5,240,skylin
5,72,hike
4,465,botan
4,454,power
4,411,heritag
4,362,winter
4,333,mural
4,328,spire
4,146,coast
4,77,airshow
4,51,fring
4,34,race
4,23,parad
4,424,air
4,413,sunni
4,397,cold
4,238,toy
4,90,skate
4,332,wave
4,252,line
4,145,wall
4,12,livemus
3,421,scienc
3,402,candid
3,393,capit
3,373,yellow
3,347,ceil
3,308,flag
3,302,mountain
3,251,stair
3,250,squirrel
3,218,crowd
3,140,glass
3,137,anim
3,118,sign
3,65,disco
3,55,leav
3,25,xma
3,365,summer
3,327,fair
3,237,balloon
3,119,snow
3,28,tour
3,43,easter
2,404,militari
2,356,architectur
2,198,duck
2,188,polic
2,166,girl
2,143,boat
2,120,sculptur
2,115,sea
2,66,explor
2,17,trip
2,13,rock
2,355,van
2,318,women
2,93,meal
1,377,dark
1,349,storm
1,273,bench
1,260,frost
1,253,uni
1,242,ruin
1,217,bicycl
1,213,sand
1,189,metal
1,183,nightclub
1,177,shadow
1,162,wildlif
1,152,rain
1,111,graffiti
1,85,anniversari
1,83,recept
1,67,final
1,22,protest
0,467,rainbow
0,466,ancient
0,464,nightglow
0,462,experiment
0,461,wild
0,457,random
0,456,peac
0,455,rural
0,453,retro
0,450,textur
0,449,sunshin
0,444,cute
0,443,motion
0,440,sceneri
0,438,wet
0,437,outsid
0,436,industri
0,435,outdoor
0,432,dawn
0,428,grey
0,427,yuck
0,423,gothic
0,420,purpl
0,417,sunlight
0,414,countrysid
0,412,demolit
0,407,weather
0,405,raw
0,403,abandon
0,401,decay
0,399,safe
0,398,histor
0,395,dusk
0,394,dead
0,391,victorian
0,390,derelict
0,386,mediev
0,383,public
0,381,orang
0,380,panorama
0,369,autumn
0,366,landscap
0,351,ferri
0,350,butterfli
0,346,graveston
0,345,fruit
0,344,tile
0,343,cemetari
0,342,churchyard
0,339,mud
0,338,hand
0,335,seafront
0,331,tomb
0,326,bonfir
0,324,hostel
0,323,skyscrap
0,321,robin
0,320,sheep
0,315,punk
0,311,loch
0,307,waterfal
0,305,costum
0,303,leaf
0,298,poster
0,297,railroad
0,290,lamp
0,280,motorbik
0,277,grafitti
0,276,carpark
0,275,insect
0,270,traffic
0,269,male
0,267,mirror
0,265,fauna
0,258,pavement
0,255,aircraft
0,249,rust
0,247,grave
0,241,stainedglass
0,232,path
0,228,ice
0,226,wheel
0,225,fog
0,223,woman
0,222,concret
0,221,mist
0,220,rail
0,219,flora
0,212,steam
0,207,stencil
0,203,fish
0,202,monument
0,200,badg
0,199,stage
0,187,sunris
0,185,clock
0,184,graveyard
0,172,silhouett
0,169,seasid
0,160,plant
0,154,grass
0,148,stone
0,138,sun
0,133,streetart
0,132,window
0,127,statu
0,123,reflect
0,117,cloud
0,95,singer
0,94,barbecu
0,92,cupfin
0,89,tourist
0,87,dayout
0,80,match
0,79,religion
0,74,wakeboard
0,69,honeymoon
0,68,newyear
0,63,newyearsev
0,59,motorsport
0,54,christmasparti
0,52,demonstr
0,42,bbq
0,38,confer
0,31,drunk
0,11,vacat
